.HEADER
..NAMES
Time,V U1.V22
.DATA
4.05977e-008,0.1966
4.06436e-008,0.2067
4.06895e-008,0.2360
4.07355e-008,0.2711
4.07814e-008,0.2977
4.08273e-008,0.3053
4.08732e-008,0.2913
4.09192e-008,0.2628
4.09651e-008,0.2369
4.10110e-008,0.2283
4.10569e-008,0.2359
4.11029e-008,0.2512
4.11488e-008,0.2617
4.11947e-008,0.2589
4.12407e-008,0.2437
4.12866e-008,0.2213
4.13325e-008,0.2049
4.13784e-008,0.2057
4.14244e-008,0.2213
4.14703e-008,0.2423
4.15162e-008,0.2586
4.15621e-008,0.2647
4.16081e-008,0.2613
4.16540e-008,0.2528
4.16999e-008,0.2465
4.17458e-008,0.2443
4.17918e-008,0.2438
4.18377e-008,0.2418
4.18836e-008,0.2378
4.19295e-008,0.2341
4.19755e-008,0.2336
4.20214e-008,0.2377
4.20673e-008,0.2452
4.21132e-008,0.2528
4.21592e-008,0.2558
4.22051e-008,0.2520
4.22510e-008,0.2433
4.22969e-008,0.2342
4.23429e-008,0.2300
4.23888e-008,0.2333
4.24347e-008,0.2427
4.24806e-008,0.2529
4.25266e-008,0.2577
4.25725e-008,0.2549
4.26184e-008,0.2470
4.26643e-008,0.2392
4.27103e-008,0.2357
4.27562e-008,0.2377
4.28021e-008,0.2428
4.28480e-008,0.2477
4.28940e-008,0.2495
4.29399e-008,0.2479
4.29858e-008,0.2446
4.30317e-008,0.2420
4.30777e-008,0.2416
4.31236e-008,0.2432
4.31695e-008,0.2454
4.32154e-008,0.2465
4.32613e-008,0.2459
4.33073e-008,0.2441
4.33532e-008,0.2429
4.33991e-008,0.2434
4.34450e-008,0.2455
4.34910e-008,0.2476
4.35369e-008,0.2481
4.35828e-008,0.2462
4.36287e-008,0.2431
4.36747e-008,0.2409
4.37206e-008,0.2410
4.37665e-008,0.2435
4.38124e-008,0.2468
4.38584e-008,0.2489
4.39043e-008,0.2487
4.39502e-008,0.2464
4.39961e-008,0.2435
4.40421e-008,0.2417
4.40880e-008,0.2419
4.41339e-008,0.2438
4.41798e-008,0.2462
4.42258e-008,0.2476
4.42717e-008,0.2475
4.43176e-008,0.2460
4.43635e-008,0.2443
4.44095e-008,0.2434
4.44554e-008,0.2438
4.45013e-008,0.2450
4.45472e-008,0.2461
4.45932e-008,0.2463
4.46391e-008,0.2455
4.46850e-008,0.2446
4.47309e-008,0.2443
4.47769e-008,0.2448
4.48228e-008,0.2457
4.48687e-008,0.2463
4.49146e-008,0.2462
4.49606e-008,0.2454
4.50065e-008,0.2445
4.50524e-008,0.2440
4.50983e-008,0.2444
4.51443e-008,0.2453
4.51902e-008,0.2463
4.52361e-008,0.2467
4.52821e-008,0.2463
4.53280e-008,0.2453
4.53739e-008,0.2444
4.54198e-008,0.2441
4.54658e-008,0.2446
4.55117e-008,0.2455
4.55576e-008,0.2463
4.56035e-008,0.2465
4.56495e-008,0.2460
4.56954e-008,0.2452
4.57413e-008,0.2447
4.57872e-008,0.2447
4.58332e-008,0.2452
4.58791e-008,0.2458
4.59250e-008,0.2460
4.59709e-008,0.2459
4.60169e-008,0.2455
4.60628e-008,0.2452
4.61087e-008,0.2451
4.61546e-008,0.2453
4.62006e-008,0.2457
4.62465e-008,0.2459
4.62924e-008,0.2458
4.63383e-008,0.2455
4.63843e-008,0.2452
4.64302e-008,0.2451
4.64761e-008,0.2453
4.65220e-008,0.2457
4.65680e-008,0.2460
4.66139e-008,0.2460
4.66598e-008,0.2458
4.67057e-008,0.2454
4.67517e-008,0.2451
4.67976e-008,0.2452
4.68435e-008,0.2455
4.68894e-008,0.2459
4.69354e-008,0.2460
4.69813e-008,0.2459
4.70272e-008,0.2457
4.70731e-008,0.2454
4.71190e-008,0.2453
4.71650e-008,0.2454
4.72109e-008,0.2457
4.72568e-008,0.2459
4.73027e-008,0.2994
4.73487e-008,0.4616
4.73946e-008,0.6205
4.74405e-008,0.8144
4.74864e-008,1.0015
4.75324e-008,1.1442
4.75783e-008,1.2376
4.76242e-008,1.2704
4.76701e-008,1.2921
4.77161e-008,1.2969
4.77620e-008,1.2982
4.78079e-008,1.2957
4.78538e-008,1.2864
4.78998e-008,1.2785
4.79457e-008,1.2697
4.79916e-008,1.2662
4.80375e-008,1.2703
4.80835e-008,1.2786
4.81294e-008,1.2689
4.81753e-008,1.2403
4.82212e-008,1.2069
4.82672e-008,1.1800
4.83131e-008,1.1741
4.83590e-008,1.1911
4.84049e-008,1.2215
4.84509e-008,1.2475
4.84968e-008,1.2524
4.85427e-008,1.2388
4.85886e-008,1.2195
4.86346e-008,1.2072
4.86805e-008,1.2119
4.87264e-008,1.2309
4.87723e-008,1.2560
4.88183e-008,1.2758
4.88642e-008,1.2760
4.89101e-008,1.2582
4.89560e-008,1.2334
4.90020e-008,1.2121
4.90479e-008,1.2040
4.90938e-008,1.2095
