.HEADER
..NAMES
Time,V U1.F25
.DATA
2.35459e-008,0.4675
2.35883e-008,0.3591
2.36307e-008,0.3135
2.36732e-008,0.3016
2.37156e-008,0.2836
2.37580e-008,0.2765
2.38004e-008,0.2723
2.38428e-008,0.2739
2.38853e-008,0.2728
2.39277e-008,0.2564
2.39701e-008,0.2295
2.40126e-008,0.2292
2.40550e-008,0.2620
2.40974e-008,0.2819
2.41398e-008,0.2976
2.41823e-008,0.3052
2.42247e-008,0.2773
2.42671e-008,0.2206
2.43095e-008,0.1920
2.43519e-008,0.1894
2.43944e-008,0.1942
2.44368e-008,0.2097
2.44792e-008,0.2234
2.45217e-008,0.2256
2.45641e-008,0.2190
2.46065e-008,0.2166
2.46489e-008,0.2164
2.46913e-008,0.2182
2.47338e-008,0.2170
2.47762e-008,0.2118
2.48186e-008,0.2096
2.48611e-008,0.2159
2.49035e-008,0.2203
2.49459e-008,0.2195
2.49883e-008,0.2207
2.50308e-008,0.2185
2.50732e-008,0.2092
2.51156e-008,0.2049
2.51580e-008,0.2115
2.52004e-008,0.2168
2.52429e-008,0.2193
2.52853e-008,0.2968
2.53277e-008,0.4670
2.53702e-008,0.6403
2.54126e-008,0.8486
2.54550e-008,0.9946
2.54974e-008,1.0888
2.55398e-008,1.1345
2.55823e-008,1.1631
2.56247e-008,1.1783
2.56671e-008,1.1916
2.57096e-008,1.1993
2.57520e-008,1.2021
2.57944e-008,1.2086
2.58368e-008,1.2256
2.58793e-008,1.2362
2.59217e-008,1.2227
2.59641e-008,1.2098
2.60065e-008,1.1950
2.60489e-008,1.1819
2.60914e-008,1.1889
2.61338e-008,1.2219
2.61762e-008,1.2462
2.62187e-008,1.1515
2.62611e-008,0.9113
2.63035e-008,0.7123
2.63459e-008,0.5185
2.63883e-008,0.3877
2.64308e-008,0.3232
2.64732e-008,0.3043
2.65156e-008,0.2889
2.65580e-008,0.2788
2.66005e-008,0.2730
2.66429e-008,0.2721
2.66853e-008,0.2730
2.67278e-008,0.2630
2.67702e-008,0.2371
2.68126e-008,0.2260
2.68550e-008,0.2545
2.68974e-008,0.2777
2.69399e-008,0.2900
2.69823e-008,0.3036
2.70247e-008,0.2892
2.70672e-008,0.2378
2.71096e-008,0.1979
2.71520e-008,0.1920
2.71944e-008,0.1919
2.72368e-008,0.2037
2.72793e-008,0.2191
2.73217e-008,0.2259
2.73641e-008,0.2212
2.74065e-008,0.2177
2.74490e-008,0.2162
2.74914e-008,0.2175
2.75338e-008,0.2178
2.75763e-008,0.2135
2.76187e-008,0.2096
2.76611e-008,0.2142
2.77035e-008,0.2200
2.77459e-008,0.2192
2.77884e-008,0.2197
2.78308e-008,0.2201
2.78732e-008,0.2124
2.79157e-008,0.2053
2.79581e-008,0.2096
2.80005e-008,0.2158
2.80429e-008,0.2181
2.80854e-008,0.2569
2.81278e-008,0.4157
2.81702e-008,0.5827
2.82126e-008,0.7965
2.82550e-008,0.9572
2.82975e-008,1.0669
2.83399e-008,1.1235
2.83823e-008,1.1552
2.84248e-008,1.1765
2.84672e-008,1.1875
2.85096e-008,1.1981
2.85520e-008,1.2014
2.85944e-008,1.2056
2.86369e-008,1.2200
2.86793e-008,1.2360
2.87217e-008,1.2279
2.87642e-008,1.2129
2.88066e-008,1.2004
2.88490e-008,1.1841
2.88914e-008,1.1839
2.89339e-008,1.2106
2.89763e-008,1.2456
2.90187e-008,1.2070
