.HEADER
..NAMES
Time,V U1.L23
.DATA
3.00793e-008,1.1969
3.01218e-008,1.2080
3.01642e-008,1.1930
3.02066e-008,1.1777
3.02490e-008,1.1747
3.02914e-008,1.1953
3.03339e-008,1.2288
3.03763e-008,1.2498
3.04187e-008,1.2593
3.04612e-008,1.2527
3.05036e-008,1.2418
3.05460e-008,1.2393
3.05884e-008,1.2441
3.06309e-008,1.2565
3.06733e-008,1.2640
3.07157e-008,1.2639
3.07581e-008,1.2598
3.08005e-008,1.2569
3.08430e-008,1.2614
3.08854e-008,1.2672
3.09278e-008,1.2694
3.09702e-008,1.2668
3.10127e-008,1.2626
3.10551e-008,1.2620
3.10975e-008,1.2641
3.11400e-008,1.2665
3.11824e-008,1.2665
3.12248e-008,1.2644
3.12672e-008,1.2616
3.13096e-008,1.2595
3.13521e-008,1.2601
3.13945e-008,1.2627
3.14369e-008,1.2651
3.14793e-008,1.2655
3.15218e-008,1.2635
3.15642e-008,1.2614
3.16066e-008,1.2609
3.16491e-008,1.2623
3.16915e-008,1.2637
3.17339e-008,1.2637
3.17763e-008,1.2628
3.18188e-008,1.2619
3.18612e-008,1.2619
3.19036e-008,1.2626
3.19460e-008,1.2631
3.19884e-008,1.2633
3.20309e-008,1.2630
3.20733e-008,1.2625
3.21157e-008,1.2623
3.21582e-008,1.2625
3.22006e-008,1.2631
3.22430e-008,1.2634
3.22854e-008,1.2632
3.23279e-008,1.2626
3.23703e-008,1.2622
3.24127e-008,1.2624
3.24551e-008,1.2629
3.24975e-008,1.2632
3.25400e-008,1.2630
3.25824e-008,1.2627
3.26248e-008,1.2626
3.26672e-008,1.2626
3.27097e-008,1.2628
3.27521e-008,1.2629
3.27945e-008,1.2629
3.28370e-008,1.2628
3.28794e-008,1.2627
3.29218e-008,1.2626
3.29642e-008,1.2627
3.30066e-008,1.2629
3.30491e-008,1.2629
3.30915e-008,1.2628
3.31339e-008,1.2627
3.31763e-008,1.2626
3.32188e-008,1.2627
3.32612e-008,1.2628
3.33036e-008,1.2628
3.33461e-008,1.2628
3.33885e-008,1.2627
3.34309e-008,1.2627
3.34733e-008,1.2627
3.35158e-008,1.2628
3.35582e-008,1.2628
